year,Loss,tmin6
1999,252.5301077,16.27566818
1998,265.2427299,16.30034894
1992,241.2648374,13.85824162
2008,240.6498022,16.82647932
2018,244.0257325,18.21825165
2017,254.8962426,16.16035845
1970,437.7910731,17.37337525
1967,210.2622687,17.39943486
1988,328.4092924,15.27291803
1953,327.9151848,19.89798795
1999,349.1230647,18.4519553
2003,334.9970086,15.25432569
1966,284.3975459,14.86179788
1967,270.9401665,16.63600005
1971,280.388479,18.29797813
1987,277.1243548,17.35711255
1981,278.1235866,17.49637837
1952,266.1538512,17.23983229
1953,281.3648278,16.08776131
1983,345.3847846,15.39801652
1951,283.2017503,13.68722565
1927,244.5572104,12.46732078
1986,217.6704035,14.49493618
1936,317.6428046,12.22718968
1939,198.0914132,16.40852343
1960,257.515792,14.10020659
1987,257.6759641,16.2361691
1969,208.7667705,12.81840196
2000,252.823531,14.84641523
1996,271.3644044,14.95958738
1994,183.2093273,15.2890902
1971,345.4707635,18.63130301
1932,221.4413583,17.83926474
1925,254.7657557,18.71735023
1959,368.3266884,16.75223617
1943,388.751423,18.90893956
1981,314.5595633,18.66840233
1999,373.1462786,17.72005807
1998,383.7967771,18.27780253
2010,362.6515171,20.44349891
2013,309.7511196,18.04243601
1934,549.0383758,19.67206595
1939,210.3334752,17.81569564
1956,259.4584647,17.3945091
1940,200.0797223,16.93938844
1985,191.3908894,14.50003202
1950,240.9833955,15.52245147
1961,218.0528033,15.19178921
1982,186.0190159,13.64643495
1928,177.2210336,13.95442257
1999,271.002415,16.61046438
1961,245.0436402,14.73656301
1978,198.1553449,15.51245252
1957,279.8796363,16.12670924
1946,227.5544395,15.69052411
1983,317.2681788,16.31179839
1968,265.2028613,16.41869141
1931,199.3221377,17.94138313
1986,177.6096381,17.20087968
1996,229.391293,16.43909589
2002,231.7095323,17.30871531
2001,235.6000132,15.11516833
1973,206.4259009,16.70868112
1989,333.0680076,14.84485233
1962,201.5935372,15.15119945
1956,225.5837747,16.29184274
1960,298.9487938,14.71181423
1932,144.9226215,16.36195254
1967,164.5124792,16.19369391
1938,222.5982977,14.94332567
1940,224.7810524,16.47060488
1977,194.6169469,14.35489676
2002,218.227695,16.72189378
1999,269.9155423,16.19403951
2011,258.0207484,16.27592619
2004,186.0937193,15.37744856
2006,236.1156131,14.92160869
1965,267.8666894,14.68556002
1930,261.6501463,13.96718322
1955,262.1041331,13.15251071
1989,265.9814821,14.97486087
1971,268.5372917,17.02299148
1956,265.9869093,16.0646736
1972,267.7394354,12.66696597
1986,264.4511365,15.25755861
2000,264.25915,15.22428332
1999,265.8748842,16.35770496
1996,264.2681212,15.6294558
2001,265.3512182,14.48260834
2004,267.0346618,14.56043482
2010,262.1672683,17.3138852
2014,265.2279848,16.57932246
2012,256.9612311,14.9024108
1975,342.4086898,17.72436321
1980,465.6135912,16.63960625
1930,450.9796156,15.77327945
1928,352.6919188,15.49751699
1961,321.5905896,15.67588152
1941,369.8758245,17.93746224
1933,331.2705013,18.18914573
1959,373.8797378,17.07759919
2003,362.5955517,14.83969157
1998,392.2865792,19.05729893
1993,362.7338834,17.17465129
2010,398.74251,21.15334559
2004,343.7885387,17.08055076
1950,363.1016016,15.93760848
1932,221.6999822,17.05405223
1937,330.1217837,16.9808817
1981,318.1556971,17.95416555
1930,392.2149708,15.11390493
1988,407.6380892,15.24508321
1973,328.0516955,17.25795936
1931,250.2739713,17.55026292
1978,309.8332994,16.45078182
1954,520.5700457,18.31823156
1984,349.944708,18.65109775
2017,330.1061539,16.53233892
2008,328.677001,18.05655046
1934,548.2036352,19.10205449
1990,505.6123068,16.80670586
1951,436.6206479,16.95911925
1974,467.4615857,14.75641214
1979,339.8344174,16.3411562
1967,315.0125635,17.23105309
1975,407.7351293,17.53628192
1939,456.9307012,18.05091763
1928,339.2917809,14.8388719
1968,378.7487038,17.2539078
1956,442.0138213,16.46888234
1941,563.934824,17.1634127
2000,382.228922,17.06593077
2018,408.9531603,19.7080831
1972,262.4312133,12.28500106
1952,258.4267506,16.09105795
1936,275.45025,12.01106319
1937,271.2481797,13.95980127
1931,268.132947,16.00677287
1971,263.1093335,16.7472035
1969,263.4032769,11.70518866
1985,264.4091821,12.19899335
1998,261.4859619,14.14343427
2001,267.6614295,13.51768118
2014,266.1762411,15.64287412
2016,261.4537095,14.98876852
1947,347.2081944,12.47690199
1980,258.4411469,12.52952267
1971,256.9395834,15.84369925
1938,254.6923096,13.38270147
1970,340.3839688,14.36222147
1940,253.3964282,14.00805985
1932,234.367605,14.63616464
1937,227.6844516,13.33903825
1967,236.3462787,15.28345524
